Epoch 1/500, Train Loss: 0.9282, Train Particles Loss: 1.0544, Train Jets Loss: 0.6119, Val Loss: 0.9107, Val Particles Loss: 1.0305, Val Jets Loss: 0.6016, LR: 0.001000
Epoch 2/500, Train Loss: 0.9087, Train Particles Loss: 1.0286, Train Jets Loss: 0.6001, Val Loss: 0.9000, Val Particles Loss: 1.0163, Val Jets Loss: 0.5952, LR: 0.001000
Epoch 3/500, Train Loss: 0.9000, Train Particles Loss: 1.0158, Train Jets Loss: 0.5953, Val Loss: 0.8886, Val Particles Loss: 1.0004, Val Jets Loss: 0.5885, LR: 0.001000
Epoch 4/500, Train Loss: 0.8926, Train Particles Loss: 1.0053, Train Jets Loss: 0.5911, Val Loss: 0.8852, Val Particles Loss: 0.9960, Val Jets Loss: 0.5864, LR: 0.001000
Epoch 5/500, Train Loss: 0.8870, Train Particles Loss: 0.9971, Train Jets Loss: 0.5879, Val Loss: 0.8771, Val Particles Loss: 0.9858, Val Jets Loss: 0.5814, LR: 0.001000
Epoch 6/500, Train Loss: 0.8824, Train Particles Loss: 0.9915, Train Jets Loss: 0.5850, Val Loss: 0.8721, Val Particles Loss: 0.9791, Val Jets Loss: 0.5784, LR: 0.001000
Epoch 7/500, Train Loss: 0.8784, Train Particles Loss: 0.9862, Train Jets Loss: 0.5825, Val Loss: 0.8685, Val Particles Loss: 0.9738, Val Jets Loss: 0.5764, LR: 0.001000
Epoch 8/500, Train Loss: 0.8759, Train Particles Loss: 0.9835, Train Jets Loss: 0.5808, Val Loss: 0.8663, Val Particles Loss: 0.9744, Val Jets Loss: 0.5739, LR: 0.001000
Epoch 9/500, Train Loss: 0.8728, Train Particles Loss: 0.9795, Train Jets Loss: 0.5790, Val Loss: 0.8644, Val Particles Loss: 0.9715, Val Jets Loss: 0.5729, LR: 0.001000
Epoch 10/500, Train Loss: 0.8702, Train Particles Loss: 0.9764, Train Jets Loss: 0.5773, Val Loss: 0.8585, Val Particles Loss: 0.9640, Val Jets Loss: 0.5693, LR: 0.001000
Epoch 11/500, Train Loss: 0.8686, Train Particles Loss: 0.9746, Train Jets Loss: 0.5762, Val Loss: 0.8627, Val Particles Loss: 0.9711, Val Jets Loss: 0.5714, LR: 0.001000
Epoch 12/500, Train Loss: 0.8668, Train Particles Loss: 0.9726, Train Jets Loss: 0.5750, Val Loss: 0.8582, Val Particles Loss: 0.9642, Val Jets Loss: 0.5689, LR: 0.001000
Epoch 13/500, Train Loss: 0.8659, Train Particles Loss: 0.9720, Train Jets Loss: 0.5743, Val Loss: 0.8570, Val Particles Loss: 0.9619, Val Jets Loss: 0.5685, LR: 0.001000
